gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
Female,Sindh,Matric,Standard,None,66,74,68
Male,Sindh,Intermediate,Standard,None,75,75,72
Female,Sindh,Master's Degree,Standard,None,74,81,87
Female,Punjab,Intermediate,Standard,None,52,62,58
Male,Sindh,Primary or Below,Standard,None,71,70,66
Female,Punjab,Matric,Standard,Completed,82,81,89
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,56,67,68
Female,Sindh,Matric,Standard,None,61,76,77
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,68,70,69
Female,Sindh,Matric,Standard,Completed,97,98,99
Male,Punjab,Matric,Free/Reduced,Completed,60,74,75
Male,Punjab,Bachelor's Degree,Free/Reduced,None,54,58,62
Male,Punjab,Matric,Free/Reduced,Completed,47,59,70
Male,Khyber Pakhtunkhwa,Intermediate,Standard,None,77,68,69
Female,Punjab,Bachelor's Degree,Standard,Completed,70,72,78
Female,Sindh,Bachelor's Degree,Free/Reduced,None,60,62,65
Male,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,53,79,79
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,62,68,60
Male,Sindh,Intermediate,Standard,None,78,82,80
Female,Punjab,Intermediate,Free/Reduced,Completed,79,82,91
Male,Punjab,Bachelor's Degree,Free/Reduced,None,58,64,63
Male,Islamabad Capital Territory,Master's Degree,Standard,None,79,74,71
Female,Sindh,Intermediate,Free/Reduced,Completed,64,76,87
Male,Punjab,Matric,Standard,None,61,67,63
Male,Punjab,Master's Degree,Free/Reduced,None,44,56,54
Female,Sindh,Intermediate,Free/Reduced,None,53,65,71
Male,Sindh,Matric,Free/Reduced,None,54,62,60
Female,Khyber Pakhtunkhwa,Intermediate,Standard,None,67,77,77
Male,Punjab,Bachelor's Degree,Free/Reduced,None,73,75,76
Female,Punjab,Primary or Below,Free/Reduced,None,69,78,75
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,None,62,75,69
Female,Sindh,Matric,Standard,None,53,69,64
Male,Punjab,Matric,Free/Reduced,None,71,65,66
Female,Sindh,Intermediate,Standard,None,57,60,66
Female,Sindh,Intermediate,Standard,None,54,66,66
Male,Sindh,Bachelor's Degree,Standard,None,76,68,70
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,55,68,60
Female,Punjab,Intermediate,Standard,Completed,62,76,83
Female,Punjab,Intermediate,Free/Reduced,None,67,74,73
Male,Sindh,Master's Degree,Standard,Completed,79,79,85
Female,Punjab,Primary or Below,Free/Reduced,Completed,58,76,85
Male,Punjab,Intermediate,Standard,None,75,70,68
Female,Sindh,Intermediate,Free/Reduced,Completed,79,84,83
Male,Punjab,Matric,Free/Reduced,None,49,57,61
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,68,73,81
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,58,64,68
Female,Punjab,Matric,Standard,None,70,68,66
Female,Punjab,Intermediate,Standard,Completed,67,72,76
Female,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,68,82,84
Male,Balochistan,Matric,Free/Reduced,None,68,67,60
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,76,79,84
Female,Punjab,Master's Degree,Standard,None,65,70,77
Female,Punjab,Bachelor's Degree,Standard,Completed,73,89,93
Male,Punjab,Bachelor's Degree,Free/Reduced,None,38,63,60
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,None,76,76,74
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,None,83,72,66
Female,Punjab,Bachelor's Degree,Standard,Completed,66,74,84
Male,Punjab,Intermediate,Free/Reduced,Completed,72,72,79
Male,Punjab,Bachelor's Degree,Standard,Completed,64,77,85
Female,Khyber Pakhtunkhwa,Matric,Standard,None,50,63,66
Male,Sindh,Matric,Standard,None,61,64,64
Male,Sindh,Bachelor's Degree,Standard,None,39,47,54
Female,Sindh,Intermediate,Standard,None,74,69,69
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,80,73,85
Female,Punjab,Intermediate,Standard,None,73,71,74
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,80,73,74
Male,Sindh,Bachelor's Degree,Free/Reduced,None,65,67,63
Female,Balochistan,Bachelor's Degree,Free/Reduced,Completed,68,73,79
Male,Punjab,Master's Degree,Free/Reduced,Completed,87,85,88
Male,Punjab,Intermediate,Free/Reduced,None,72,74,73
Male,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,57,67,68
Male,Sindh,Primary or Below,Standard,Completed,84,82,88
Male,Punjab,Matric,Standard,Completed,68,71,73
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,78,81,82
Male,Punjab,Bachelor's Degree,Standard,None,68,77,70
Male,Punjab,Matric,Standard,Completed,79,79,84
Male,Punjab,Bachelor's Degree,Standard,None,84,80,74
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,52,64,60
Female,Punjab,Bachelor's Degree,Standard,Completed,74,75,79
Female,Sindh,Master's Degree,Standard,None,57,59,62
Female,Punjab,Intermediate,Standard,None,64,76,74
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,60,74,70
Male,Sindh,Bachelor's Degree,Standard,None,75,72,72
Female,Sindh,Intermediate,Free/Reduced,None,61,69,67
Female,Punjab,Matric,Standard,None,48,62,68
Male,Punjab,Bachelor's Degree,Standard,None,74,73,76
Female,Islamabad Capital Territory,Intermediate,Standard,None,70,71,65
Male,Islamabad Capital Territory,Intermediate,Standard,None,63,78,76
Male,Punjab,Matric,Standard,None,58,65,70
Male,Punjab,Master's Degree,Standard,None,69,72,73
Male,Islamabad Capital Territory,Intermediate,Standard,None,51,59,59
Female,Sindh,Intermediate,Standard,Completed,75,86,93
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,76,76,78
Male,Punjab,Matric,Standard,Completed,80,80,79
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,51,52,52
Male,Sindh,Intermediate,Standard,None,73,73,74
Female,Balochistan,Matric,Free/Reduced,None,74,74,75
